Location,Date,Temperature,Humidity
Mumbai,2021-05-02 09:42:38.220401,29.5,99.9
Mumbai,2021-05-02 09:42:40.479825,30.7,94.6
Mumbai,2021-05-02 09:42:42.739359,30.6,94.5
Mumbai,2021-05-02 09:42:44.998570,30.6,94.5
Mumbai,2021-05-02 09:42:47.257840,30.6,94.5
Mumbai,2021-05-02 09:42:49.517213,30.6,94.4
Mumbai,2021-05-02 09:42:51.776155,30.6,94.4
Mumbai,2021-05-02 09:42:54.035166,30.6,94.4
Mumbai,2021-05-02 09:42:56.294414,30.6,94.4
Mumbai,2021-05-02 09:42:58.553669,30.6,94.3
Mumbai,2021-05-02 09:43:00.813017,30.6,94.3
Mumbai,2021-05-02 09:43:03.072257,30.6,94.3
Mumbai,2021-05-02 09:43:05.331580,30.6,94.3
Mumbai,2021-05-02 09:43:07.590826,30.6,94.3
Mumbai,2021-05-02 09:43:09.850045,30.6,94.2
Mumbai,2021-05-02 09:43:12.109346,30.6,94.2
Mumbai,2021-05-02 09:43:14.368601,30.6,94.2
Mumbai,2021-05-02 09:43:16.627910,30.6,94.2
Mumbai,2021-05-02 09:43:18.887185,30.6,94.2
Mumbai,2021-05-02 09:43:21.146438,30.6,94.2
Mumbai,2021-05-02 09:43:23.405463,30.6,94.1
Mumbai,2021-05-02 09:43:25.664733,30.6,94.1
Mumbai,2021-05-02 09:43:27.924013,30.6,94.1
Mumbai,2021-05-02 09:43:30.183503,30.6,94.1
Mumbai,2021-05-02 09:43:32.442729,30.6,94.1
Mumbai,2021-05-02 09:43:34.702020,30.6,94.1
Mumbai,2021-05-02 09:43:36.961380,30.6,94.1
Mumbai,2021-05-02 09:43:39.220702,30.6,94.1
Mumbai,2021-05-02 09:43:41.480060,30.6,94.1
Mumbai,2021-05-02 09:43:43.739485,28.7,93.4
Mumbai,2021-05-02 09:43:45.998791,30.6,94.1
Mumbai,2021-05-02 09:43:48.258119,30.6,94.1
Mumbai,2021-05-02 09:43:50.517197,30.7,94.1
Mumbai,2021-05-02 09:43:52.776572,30.6,94.0
Mumbai,2021-05-02 09:43:55.035911,30.6,94.0
Mumbai,2021-05-02 09:43:57.295180,30.7,94.1
Mumbai,2021-05-02 09:43:59.554641,30.7,94.1
Mumbai,2021-05-02 09:44:01.813911,30.7,94.0
Mumbai,2021-05-02 09:44:04.073249,30.6,94.0
Mumbai,2021-05-02 09:44:06.332508,30.7,94.0
Mumbai,2021-05-02 09:44:08.591878,30.7,94.0
Mumbai,2021-05-02 09:44:10.851201,30.7,94.0
Mumbai,2021-05-02 09:44:13.110493,30.6,94.0
Mumbai,2021-05-02 09:44:15.369795,30.7,94.0
Mumbai,2021-05-02 09:44:17.628970,30.6,94.0
Mumbai,2021-05-02 09:44:19.888263,30.6,94.0
Mumbai,2021-05-02 09:44:22.147485,30.6,94.0
Mumbai,2021-05-02 09:44:24.406841,30.6,94.0
Mumbai,2021-05-02 09:44:26.665793,30.6,94.0
Mumbai,2021-05-02 09:44:28.925071,30.6,94.0
Mumbai,2021-05-02 09:44:31.184156,30.6,94.0
Mumbai,2021-05-02 09:44:33.443261,30.6,94.0
Mumbai,2021-05-02 09:44:35.702527,30.7,94.0
Mumbai,2021-05-02 09:44:37.961875,30.7,94.0
Mumbai,2021-05-02 09:44:40.221381,30.6,93.9
Mumbai,2021-05-02 09:44:42.480663,30.7,94.0
Mumbai,2021-05-02 09:44:44.740187,30.6,94.0
Mumbai,2021-05-02 09:44:46.999526,30.7,94.0
Mumbai,2021-05-02 09:44:49.258830,30.7,94.0
Mumbai,2021-05-02 09:44:51.518177,30.6,93.9
Mumbai,2021-05-02 09:44:53.777446,30.7,94.0
Mumbai,2021-05-02 09:44:56.036381,30.7,94.0
Mumbai,2021-05-02 09:44:58.295641,30.7,94.0
Mumbai,2021-05-02 09:45:00.554939,30.6,93.9
Mumbai,2021-05-02 09:45:02.814290,30.7,94.0
Mumbai,2021-05-02 09:45:05.073582,30.7,94.0
Mumbai,2021-05-02 09:45:07.332884,30.7,94.0
Mumbai,2021-05-02 09:45:09.592187,30.7,94.0
Mumbai,2021-05-02 09:45:11.851473,30.7,94.0
Mumbai,2021-05-02 09:45:14.110782,30.7,94.1
Mumbai,2021-05-02 09:45:16.370052,30.7,94.1
Mumbai,2021-05-02 09:45:18.629450,30.7,94.4
Mumbai,2021-05-02 09:45:20.888721,30.7,94.3
Mumbai,2021-05-02 09:45:23.147980,30.7,94.0
Mumbai,2021-05-02 09:45:25.407280,30.7,94.0
Mumbai,2021-05-02 09:45:27.666189,30.7,94.0
Mumbai,2021-05-02 09:45:29.925734,30.7,94.0
Mumbai,2021-05-02 09:45:32.185052,30.7,94.0
Mumbai,2021-05-02 09:45:34.444351,30.7,94.0
Mumbai,2021-05-02 09:45:36.703541,30.7,94.0
Mumbai,2021-05-02 09:45:38.962881,30.7,94.0
Mumbai,2021-05-02 09:45:41.222180,30.7,94.0
Mumbai,2021-05-02 09:45:43.481092,30.7,94.0
Mumbai,2021-05-02 09:45:45.740333,30.6,93.9
Mumbai,2021-05-02 09:45:47.999559,30.7,94.0
Mumbai,2021-05-02 09:45:50.258789,30.7,94.0
Mumbai,2021-05-02 09:45:52.517982,30.7,93.9
Mumbai,2021-05-02 09:45:54.777322,30.7,94.0
Mumbai,2021-05-02 09:45:57.036574,30.7,94.0
Mumbai,2021-05-02 09:45:59.295947,30.7,94.0
Mumbai,2021-05-02 09:46:01.554922,30.7,94.0
Mumbai,2021-05-02 09:46:03.814276,30.7,94.0
Mumbai,2021-05-02 09:46:06.073591,30.7,94.0
Mumbai,2021-05-02 09:46:08.332889,30.6,93.9
Mumbai,2021-05-02 09:46:10.592130,30.7,93.9
Mumbai,2021-05-02 09:46:12.851413,30.7,93.9
Mumbai,2021-05-02 09:46:15.110785,30.6,93.9
Mumbai,2021-05-02 09:46:17.369964,30.6,93.9
Mumbai,2021-05-02 09:46:19.629294,30.6,93.9
Mumbai,2021-05-02 09:46:21.888498,30.6,93.9
Mumbai,2021-05-02 09:46:24.147739,30.6,93.9
Mumbai,2021-05-02 09:46:26.407029,30.6,93.9
Mumbai,2021-05-02 09:46:28.666335,30.6,93.9
Mumbai,2021-05-02 09:46:30.925647,30.6,93.9
Mumbai,2021-05-02 09:46:33.184871,30.6,93.9
Mumbai,2021-05-02 09:46:35.444152,30.6,93.4
Mumbai,2021-05-02 09:46:37.703374,30.6,93.9
Mumbai,2021-05-02 09:46:39.962757,30.6,93.9
Mumbai,2021-05-02 09:46:42.221946,30.6,93.9
Mumbai,2021-05-02 09:46:44.481291,30.6,93.9
Mumbai,2021-05-02 09:46:46.740552,30.6,93.9
Mumbai,2021-05-02 09:46:48.999843,30.6,93.9
Mumbai,2021-05-02 09:46:51.259049,30.6,93.9
Mumbai,2021-05-02 09:46:53.518615,30.6,93.9
Mumbai,2021-05-02 09:46:55.777930,30.6,93.9
Mumbai,2021-05-02 09:46:58.037154,30.6,93.9
Mumbai,2021-05-02 09:47:00.296684,30.6,93.9
Mumbai,2021-05-02 09:47:02.555968,30.6,93.9
Mumbai,2021-05-02 09:47:04.815274,30.7,93.9
Mumbai,2021-05-02 09:47:07.074046,30.7,93.9
Mumbai,2021-05-02 09:47:09.333344,30.6,93.9
Mumbai,2021-05-02 09:47:11.592598,30.6,94.0
